[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,WEEKS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,WEEKS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,DAYS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,DAYS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,MONTHS,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,MONTHS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,MONTHS,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,WEEKS,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
