[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton,S6_select_schedulingTypeSelect_index_1,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString,action,IMMEDIATELY,action
