[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S7_select_schedulingTypeSelect_index_2,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
invalidRecurrenceNumberLef,invalidPaymentCountLef,SINGLE_FUTURE,action,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,action,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,SINGLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,SINGLE_FUTURE,action,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,SINGLE_FUTURE,action,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,SINGLE_FUTURE,action,MONTHS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,SINGLE_FUTURE,action,DAYS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,SINGLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,action,MONTHS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,action,DAYS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,SINGLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,SINGLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,SINGLE_FUTURE,action,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,SINGLE_FUTURE,action,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,SINGLE_FUTURE,action,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,SINGLE_FUTURE,action,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,action,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,action,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,action,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,SINGLE_FUTURE,action,WEEKS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,action,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
