[coverage strength]
4
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S13_submit_submitButton,S11_type_recurrenceNumberText,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,WEEKS,validAcceptableAmount,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,invalidAmountLeft,02/02/2012,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,validAcceptableAmount,02/02/2012,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,MONTHS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,DAYS,validAcceptableAmount,02/02/2012,action,action,test1
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberLef,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,action,test1
