[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S5_select_schedulingTypeSelect_index_2,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,SINGLE_FUTURE,action,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,SINGLE_FUTURE,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,SINGLE_FUTURE,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,SINGLE_FUTURE,action,MONTHS,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,SINGLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,SINGLE_FUTURE,action,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,action,DAYS,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
