[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
