[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,action
