[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S11_click_calculatePaymentsButton,S0_type_memberUserName,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S1_wait_input
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
