[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S13_click_calculatePaymentsButton,S12_select_recurrenceFieldSelect,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,DAYS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,WEEKS,MULTIPLE_FUTURE,action,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,MONTHS,MULTIPLE_FUTURE,action,action,action,test1
