[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S12_submit_submitButton,S2_type_amount,S1_wait_input,S0_type_memberUserName
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,invalidAmountLeft,action,test1
