[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountRight,02/02/2012,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action
