[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S12_click_calculatePaymentsButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,02/02/2012,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,02/02/2012,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,02/02/2012,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,02/02/2012,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,02/02/2012,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,02/02/2012,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,02/02/2012,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,02/02/2012,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,02/02/2012,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,invalidPaymentPastDate,action,action,test1
