[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S14_submit_submitButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
