[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S12_submit_submitButton,S2_type_amount,S1_wait_input,S0_type_memberUserName
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,action,test1
