[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S14_submit_submitButton,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
