[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S14_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,action,MULTIPLE_FUTURE,invalidAmountLeft,02/02/2012,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,02/02/2012,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,action,MULTIPLE_FUTURE,invalidAmountRight,02/02/2012,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,action,MULTIPLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,action,MULTIPLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,action,MULTIPLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,action
