[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S12_submit_submitButton,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
