[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S10_type_firstPaymentDate,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
