[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountLeft,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountLeft,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,action
