[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S0_type_memberUserName,S12_submit_submitButton,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,IMMEDIATELY,test1,action,MULTIPLE_FUTURE
