[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S12_click_calculatePaymentsButton
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,test1,action
