[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S12_submit_submitButton
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action
