[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S12_click_calculatePaymentsButton,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
