[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S12_click_calculatePaymentsButton,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
