[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,02/02/2012,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,02/02/2012,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,02/02/2012,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,IMMEDIATELY,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,IMMEDIATELY,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
