[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
