[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,DAYS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,DAYS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,action,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,DAYS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,WEEKS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,MONTHS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,action,DAYS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,DAYS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,WEEKS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1
