[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S10_type_firstPaymentDate,S8c3_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
