[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S7_select_schedulingTypeSelect_index_1,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,IMMEDIATELY,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,IMMEDIATELY,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
