[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S12_submit_submitButton,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
