[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE,anyString,action,action
