[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S12_click_calculatePaymentsButton,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,action,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,action,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,action,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,action,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,action,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,action,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,action,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,action,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,action,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,action,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,action,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,action,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,action,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,action,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,action,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
