[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
