[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,invalidAmountLeft,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,02/02/2012,action,MULTIPLE_FUTURE,action,invalidAmountRight,action,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,validAcceptableAmount,action,action,test1,anyString
