[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S3_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_2,S12_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
invalidRecurrenceNumberLef,invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
