[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S0_type_memberUserName,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S1_wait_input
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,test1,action,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,test1,action,MULTIPLE_FUTURE,action
